date,ora,xalgo,niko,vote,talgo,tiny,gobtc,monko,rio,avoi,opul,malgo,alpha,gold,coop,goeth,chip,galgo,daffir,mooj,algo_vol,price,usd_vol
2025-04-01,70443.33731338695,105815168.49639738,42421.600526041795,92505.89623503444,8992801.65132769,1443282.521161779,954933.0546649992,251593.21434101436,26149.951019995806,32370.55264055528,95033.07634194093,620343.9691106156,249928.65379212686,1289901.9265545001,82921.28101482599,100194.08755914003,55468.27562136,179362488.66849604,18283.07504009321,39897.743349031596,299636131.03250754,0.1799425742490004,53917296.7560002
2025-04-02,79629.04816159577,43058811.68307381,4792.873410840363,143912.72836510933,5282645.713287629,235107.6756738178,349870.32959720003,257983.35462570234,41553.74778753607,23595.4049596691,280562.5835364595,2697019.975315377,217799.50287431755,219171.85479510014,76674.5247232598,103436.38501814003,23607.025347580002,41064006.12320227,30721.722938206203,29283.86901886174,94220186.1257125,0.1892909560015075,17835029.106376093
2025-04-03,9680.966848708842,78054600.32577235,2540.977458161525,135997.55570480032,4988843.671329096,512740.45001526206,580981.6523625003,61562.93261683104,170583.0554057097,12942.225114192861,2657243.984158406,1559869.0603243227,42181.4217485727,303834.5822765402,73181.9174119057,320355.29645548004,23130.65264,31546703.928806383,186057.0863733818,16435.75550299704,121259467.49832562,0.177362948107292,21506936.641423386
2025-04-04,32724.452190963744,64023587.24938817,17199.922911196205,621922.4245855241,8835160.942913758,445386.1489851015,282855.11720399995,248672.55582493727,246993.8227155101,41944.99995139292,175182.62983326125,1416000.8744247742,118734.54515645039,324469.6812529598,91533.21166630732,70668.8022054,46877.24024984,25870740.847997338,10945.568324444044,68122.58385909158,102989723.6216404,0.1810410834733029,18645371.151077792
2025-04-05,7256.161035672955,41799816.41463879,12941.398064236422,67736.79783811198,4786600.954501404,601462.9371153073,738734.442225,250885.4773291633,142877.75883067976,109400.16657253438,50404.08078623437,111884.7532253672,222586.92256176457,130385.35955272004,140980.63152204538,248382.21622930802,31298.1204816,6179349.414932853,7860.390972726156,13921.322626285924,55654765.7210418,0.1860230537466959,10353069.474985126
2025-04-06,29586.159705681544,25969188.267855413,4636.002416857417,306004.750304504,4447098.56387939,219141.83703678704,2338130.242034999,391618.96737778775,7759201.707648259,32658.915294582857,290013.52945485717,235399.8027687774,272895.44778028294,223550.78859240003,84379.06490077777,137951.39144080898,41570.45088150001,4290354.67424844,22108.13537894454,45358.637846404,47140847.33684745,0.1836194889344074,8655978.295926848
2025-04-07,148636.9363977494,54333693.52754889,44856.45598565778,369020.418179715,10520121.549715571,477721.1452996761,4711230.578941205,266100.31470252847,5666023.477086859,45169.91397138426,188028.18799235375,4816175.51571701,177704.42373939164,253408.37766400006,95575.68681350167,85785.259390722,142615.92922937,5129705.672862147,22212.417816642464,44034.484962638955,87537820.27401699,0.1625830986846509,14232170.072249738
2025-04-08,27204.041904154998,29208089.37394839,26440.368871266335,140709.41628968864,8710474.176458498,212879.60735375946,539766.2326847999,130003.77746307598,16081206.242463732,13263.561457143136,129898.0104022145,3496529.7014219547,83933.22252483743,567151.1668777502,156474.92995879133,84281.52519146098,64544.33253694999,2344579.509929779,12202.600884798647,39291.302947067554,62068923.10157011,0.1670856163623623,10370824.27337391
2025-04-09,83676.4245252665,10938614.726457294,4100.535952883177,234128.9835761639,7610376.45030763,289244.65725088364,1621460.6954604993,146255.09942113454,1957047.473600663,25594.45361649089,193487.02009724945,631826.979408845,302116.8629443888,506618.42811561003,179420.11627386315,218259.3918652429,53733.33747683996,3656371.855048327,17221.693725706333,33900.86345270438,28703456.04857768,0.154441446894591,4433003.283017636
2025-04-10,30771.165149779925,7151384.360370715,2350.3486926405744,182944.4661900508,6019421.280098594,335263.85487925773,216321.1797376,262556.4714273926,1879183.7340069986,8429.23889132131,61651.33523316085,265647.63886549376,79471.97119589306,674839.04077896,133279.41312532578,81861.32116639196,35768.582254559995,1015302.5513114511,12228.127544188117,40460.105268701154,18489136.186188474,0.1808725354669264,3344176.9405892068
2025-04-11,14140.180618917038,10358224.413166098,21951.053755735993,41377.015215746986,2087415.4174614316,293475.8412776098,254398.80099699998,208076.2990932545,900891.0883437828,15110.670068947644,140575.99756106222,168127.8259719492,147975.09211236253,38181.81782376,41303.29523240874,58559.80930618003,65293.171620889996,1777500.5014821307,11369.35619136198,21305.989937669918,16665253.637238303,0.1763592857059727,2939072.2275722106
2025-04-12,7199.1131543986685,7202978.381039588,9286.705980697623,77664.47069920485,4482347.607873311,225349.2633394468,573663.5327836,96642.73452209536,55833.84211941998,11247.445363396479,89925.17115481514,359660.608996792,256623.1715432828,88620.56494440002,41562.58155440122,134933.38431880192,15964.309248029993,577120.3792178488,13417.166237422052,42166.81763689313,14362207.251727846,0.180188431361054,2587903.595571195
2025-04-13,15779.482281821523,3492787.6258829837,14827.070928869318,71736.34630293005,2604267.618189378,329052.97018830426,689095.2378169983,116899.7512095186,38897.19219547199,68753.18080538833,142884.26569286757,114420.96868871007,187943.57564397555,52609.71907118,117296.3496826916,36062.93728912,57678.6714345,972832.854449895,13838.266396612684,20983.973608709974,9158648.057759924,0.1910097344638234,1749390.933560335
2025-04-14,24831.55707386953,27814928.430768263,12653.65758394117,54189.901377241586,3006519.9283126104,114324.45212600092,306523.98623700015,192582.30760906055,464259.0880000145,65574.99149618273,121205.2362430132,351748.690837882,223498.92695170752,32788.346400739996,29813.16130217813,49143.96963988501,89954.52288119998,1533524.2840096257,16321.09869082225,26944.83202773655,34531331.369568974,0.1824853785593449,6301463.077133976
2025-04-15,8321.348228314017,15168391.452610362,12584.010034843794,43061.751990512006,2664552.822191409,211638.21368512677,279959.2950980001,17565.56889323866,190408.35416892983,101494.8942173045,139656.77180354178,90371.7073277605,232077.51220652877,50158.64434700003,24778.01443934119,62324.74868396399,46046.750555519975,670085.2793525227,4822.2652233775825,58380.79618157997,20076680.201239172,0.1888021492443996,3790520.3716864404
2025-04-16,3657.2086554513044,11085003.7462234,4053.3242301152786,50324.257065886966,3030057.1949052373,142695.62066210873,171156.63169080004,22656.476295284283,1701138.9396286798,103868.82301216415,531037.7514903871,82266.48665052999,26060.95046487703,87048.81378687998,19083.963909122518,28550.314542674998,18599.951707700002,255391.08299743314,4116.995861946031,26119.968426150666,17392888.502206825,0.1793392100787229,3119226.884973074
2025-04-17,10216.669423110172,2168193.631219164,4864.583648971873,31819.91209677786,3663391.6595029896,488856.5082916114,94798.897446,10440.93327909949,30595.88527020189,47867.888650275185,249396.2572425795,45473.817409702475,22572.4518016212,82410.07864089,42360.22647014409,17419.815933983988,31147.911974249986,125044.37746937221,3043.0376696513927,24293.326364529912,7194207.869804927,0.1816072156341984,1306520.0599289106
2025-04-18,10372.844130591488,11532484.322115296,3472.506586606168,58342.647082935626,2900508.8737817067,143715.26586112822,253333.44563020003,12002.776054494874,37512.77905088438,148057.4016505557,56338.62747371755,630435.0911666501,57065.6462662897,129287.88682749998,186054.90305214477,15574.8274303,56310.603378620006,1749474.678772618,7378.308204954414,13366.059372848706,18001089.493890043,0.1867045791069992,3360885.8374241656
2025-04-19,4587.190558471341,14118269.418344483,13253.705854801176,16200.53444769796,2392798.98419935,183354.87115005986,151967.6930136,26636.43844352852,20832.63763829227,30850.07074032636,127139.20804766359,290335.95272199274,45597.638205436495,24179.52917249999,99816.69883935298,4303.120213134001,28977.539992119997,1200350.2841015956,9165.09717400741,11892.103924840878,18800508.716783248,0.1893975587247218,3560770.4537415993
2025-04-20,19356.59202710751,7606419.091228093,16264.702484887079,25932.378515151002,3770548.246962599,206842.45360801296,57232.555767,58172.10032047989,29266.679758658895,234776.35271277637,64422.656187346,96771.58865108003,150628.1604638449,23196.54231605999,35831.16965632996,14116.774105016,23670.524222539996,460948.47823284304,2454.8513768604544,55017.15502799772,12951869.05362469,0.193414451715743,2505078.6517009186
2025-04-21,12745.076277020284,4224164.636765256,25522.961383032,100384.17345117696,3586767.408111262,263135.07191164995,424013.6442116002,99117.13132338473,98630.4615841461,493433.67243088025,124120.16115060668,175744.49463601914,80185.71122005688,80828.937882,275842.5105284439,247360.86914668052,90138.57721396002,880652.9531153524,12187.794879659099,29988.602255806938,11324964.849477991,0.1929560954088816,2185220.997998106
2025-04-22,18609.085817307532,4264380.438306956,18520.54686069969,117478.91763668525,3327288.0333365356,291411.75586176803,2877094.6558271972,66483.92431876037,857282.6318101186,131908.2577231232,191577.82832333597,115394.6704024681,83742.23849825782,175579.09913641997,251643.3292660609,79078.92067007403,59306.95821336003,426191.3422594437,8662.971777516033,14425.857981687219,13376061.464027772,0.1929808267722125,2581323.4002840105
2025-04-23,8387.27512909806,12144359.709341044,24841.05885954842,109726.48190987615,3601551.8640965945,162204.23948762016,254031.9006696001,94206.60149088354,340857.9474063039,108397.37147258574,269809.6546029024,656489.6020413551,128245.6033200799,85557.85915040004,120845.34913721563,38725.315783659986,35301.50053584,351330.98102194356,8520.225028211484,51719.59211106113,18595110.13259583,0.2096258885001405,3898016.483303366
2025-04-24,14100.746508335147,6182395.192700249,3508.455768475923,83321.36207297521,5044308.212337496,1445674.4632478263,298050.0037722001,169648.03457805843,638416.5730311831,96631.71166838275,261818.85255880517,81432.05567315,139047.85178111782,113150.40722747995,61852.45066648894,32811.11226778,26547.244711889995,54180.61834986,13521.163301049648,17066.38584825409,14777482.89807106,0.2137928665555991,3159320.4292549537
2025-04-25,29385.067854310204,5664121.7082724,70485.3464407323,93896.30435924226,2525609.5371097606,195305.5852558914,1060999.1687393996,116372.90442267642,630744.5120079812,106476.20966124447,1211652.1413690294,1130641.6021293385,80871.92999193662,257506.34456231992,142649.39584732294,68697.270824462,59897.94176504,40081.78266461208,5415.27847071754,30098.37038760236,13520908.40213602,0.2257325550569359,3052109.2003049566
2025-04-26,8503.083317948198,6264753.238073914,7257.021387326456,45526.381346342205,4597666.033537672,251814.09990010064,195430.16889000015,33837.34557154548,543930.8258176872,138725.72705210772,88708.32274614647,841931.5727853094,55021.51546767577,27484.081473800004,20590.354488833284,93658.47162127493,13463.810537480003,44668.33783959636,3829.388423615061,9234.342345075094,13286034.122623447,0.2281216041123708,3030831.416344556
2025-04-27,6472.246370594995,4798059.003403606,4847.582791380671,52376.02475943836,2084575.7556535269,104830.10364827007,150172.48234740004,69479.6084999904,1123471.6004650542,165407.38230230418,63476.59194797662,70559.41905414184,75357.67128951775,56324.23701198,22375.44151756236,113345.10421044996,20079.7010832,25022.115892732,2778.6796766707926,11290.133950987387,9020300.885876786,0.2286980432837258,2062925.1624304794
2025-04-28,40458.07740797217,4241008.650900417,21379.162873210316,72172.57823606151,2352551.3436306464,472593.7856296317,310414.1770977,156880.4577154642,879042.2961212434,15181.90201339521,125526.37743191213,192767.1856370997,48915.60518884424,32098.746159479986,15617.855995897371,25843.971512160013,40433.14541637,28804.960251638906,13759.977398658946,25803.875610452647,9111254.132228253,0.2215912183180496,2018973.9035658224
2025-04-29,24094.218800611718,3847470.795913383,12916.903918398006,64897.202596569834,1966330.664702635,227744.04116397048,229486.53589200004,126816.13424065593,937417.7810947418,66933.65508982794,64706.066215081955,117632.15264600095,81701.92206669731,11585.969597209994,19832.76449531571,13404.162789422999,40762.585200120004,259997.34141606596,16497.707764035735,35477.50922418357,8165706.114826929,0.2305574322044309,1882664.2339705164
2025-04-30,29873.275081219053,4854739.072558289,15627.567177031711,109398.51252582572,4160812.6717135757,1476260.6817074118,688232.9840384998,268048.0704352122,176555.32455698145,13274.134779081971,377921.7619264011,172897.74415623897,76449.87316623883,39864.82510944,27944.047549415394,23913.109616594003,9469.23580525,74247.83934762854,135206.69176877363,34671.125685877196,12765408.548704993,0.2264860157172054,2891186.521198547
