dt,ora,xalgo,niko,vote,talgo,tiny,gobtc,monko,rio,avoi,opul,malgo,stbl,alpha,gold,coop,goeth,chip,galgo,daffir
2025-02-01,47165.77777621056,14126083.224303937,40800614.863083996,735001.9997109999,2769155.8455959996,1957236.8618190007,2.3121250200000008,27133955402.93896,24230.660119099997,12987549.334198987,1261272.1086412948,764694.366645,9768.367727,0.0,2395.228484999999,2738995.635404,5.0583852100000035,4152688.2000000007,2021923.9240009994,273250.105712
2025-02-02,229458.82399385032,14410484.610063002,46135368.645127006,2348429.7679669987,3230655.975375,3973164.3395419996,5.542597069999998,44000823133.83901,201780.19078280014,17235261.628663998,2274445.967018743,598966.8639870001,20368.522125,63027578.19705902,1062.0923420000004,4991688.710916,19.785597569999997,3780536.8,9578730.305781,806035.0332940001
2025-02-03,140799.73772717005,16664015.563215002,44115145.73807801,3704917.5451780017,5553516.526706998,3502332.2238929975,9.326503519999985,216842685668.7953,281917.94476309995,16570695.491827993,4394860.884945656,1813015.204457001,63851.972846,4063543.856920001,3740.7097179999987,6152466.290124,60.23959765999994,8796959.400000004,19883098.097316984,2046546.7556790002
2025-02-04,84376.85368600051,8352414.750703,76660923.69071001,1732991.6299169993,1575899.3691479997,1403431.1636469995,2.1157577,25276204833.831226,340337.0589094001,5197977.926778002,2584187.4084616746,345922.9600949999,20367.09015,3423816.803603999,1416.0590710000004,524973.170593,36.62785465999999,4126373.1,1883656.0590880006,714647.3240849999
2025-02-05,20530.78071825007,5720897.699561996,28758320.187195007,422323.6609660002,1492707.0340600004,1472772.73089,0.9129333699999999,112725931295.55835,968483.8995028997,11309269.821708996,1423539.6327983602,467436.84661200014,6147.6476729999995,691750.173901,199.33327100000002,1757029.4234849997,7.011594080000002,3191282.6999999997,629014.9491179999,1100526.4767639993
2025-02-06,205140.5537827185,6005681.603514995,123202154.81175898,615182.0215479998,2905816.2180540017,2615186.0258040014,1.2255321200000002,69452094795.70541,1074468.7901577,4293834.050716,1312760.47945567,344773.50651700003,10293.569124,205395.972095,184.36072099999998,1621531.6942030005,19.014266929999998,2291197.6999999997,1296054.2840180001,1494727.6971200001
2025-02-07,12135.315909079998,6659786.887843031,6094762.072754,834761.493812,1520986.8626869991,1484196.823783,2.7585466099999976,78809520953.53369,227132.83899750005,28490715.279607985,2050413.4031045067,353124.3309090001,13876.003363999998,1121544.3800690002,447.15594899999996,613818.1043710001,13.673608669999995,3942195.8999999994,3596630.933066001,2263397.219625
2025-02-08,12340.286787690053,5339633.820669982,14119785.307795005,303370.67291200004,2609685.346263,1860485.9078469994,2.850878160000001,27086400490.933857,88342.81958329999,16878782.074703988,1725866.1454025207,436551.414348,6553.678373,196563577.11218694,266.467628,1481271.522915,1.0832924600000002,2133515.9000000004,611258.5919090001,197828.81710400002
2025-02-09,15600.890066430069,10572358.047451999,15749470.996830998,606222.0914279998,1378813.0472370002,1029914.7204160002,1.4150512199999998,32334618185.11874,297406.64297389996,18937393.056092,502850.57267136633,256650.31053,14190.935626999999,22146758.749677993,783.750349,409597.6871969999,6.705424970000001,2702407.5999999996,3379857.5193090015,307873.289884
2025-02-10,13206.12471900009,3901133.96779,17324459.508737,538043.2848949998,1404659.245544,1482970.0182250005,0.9718529600000002,30669298156.727066,82389.29825500002,7120678.772371995,1898196.4346363016,260663.2074649999,8934.461403,6873100.3808389995,298.100461,338667.1238040001,9.315391510000001,4065828.5000000014,1980232.2347490024,635071.4010799999
2025-02-11,11870.88532690002,1304547.1049489996,15541149.314304993,501168.87571899995,1258141.214924,1002633.566682,1.9490179199999988,13133824804.186989,342994.9998602998,6924932.343370999,1165908.0340275154,300738.929261,7896.93494,30900610.817020003,265.49647799999997,228043.66587399997,5.615343210000001,7675100.1,3522736.823097,345569.6830990001
2025-02-12,17037.94399206005,5085186.670635,25625144.697542995,753494.8242850001,1903188.151701,1520335.958544,1.6188239599999978,35631219771.75851,26292.670003199994,22068339.163038995,2984023.7082046526,197477.547356,17860.457056000003,2313542.5215099994,240.69113000000007,291706.0402379999,2.79556622,4339746.899999999,1735902.1758460002,630182.259009
2025-02-13,9550.060691009972,9012503.407689938,2706300.9224459995,271861.73665400007,1533699.0447499997,2155050.797293999,1.07232969,8330597426.707466,40643.16127909999,5835506.252865,660733.6580435741,101147.64603199999,3288.40614,1708376.7680369997,94.396003,132023.227875,1.8006197999999998,2059228.1,539300.1898670001,210187.25499800005
2025-02-14,24977.662769810126,4603602.604754988,9673437.312199002,312697.56921200006,1737747.5509280008,2770838.43355,0.9256572000000004,7968919711.6725855,1562005.6240988,3878470.783791,711708.4717597441,130388.97579999999,4187.006713999999,100905647.31138398,1315.6197209999998,152375.330797,3.33127691,5648224.100000001,1227506.3374019996,202108.2585350001
2025-02-15,48539.236215610144,6290427.123103025,30172548.214188002,251086.71658299994,3857096.5033079996,3108014.036238999,0.5449084,27104243271.988274,51065.74356359999,4965966.8252650015,897380.6837644626,96698.072285,5100.986835999999,216873027.752438,118.55562199999999,321206.789446,2.6999010800000005,2826760.8999999994,1469883.6454629996,315444.9792259999
2025-02-16,45063.22808647016,11589803.426481625,28234223.016548004,285636.28200400004,821732.459093,3338189.2390039987,0.4282392499999999,26872338287.191216,126703.77287130004,3100990.8205310004,1328554.5140481268,95582.29952600002,5983.831660999999,8850807.119606003,343.131302,391555.56381900003,2.6365192600000005,2873712.8000000003,3726078.7838830003,226516.22643500008
2025-02-17,62220.16195036018,1555980.2833119992,38463915.902875,391290.6722879999,1328273.3940990006,3152242.481992001,1.769104319999999,17471004211.882004,90442.43177679999,12111481.497114003,684923.4993183907,146124.30385599998,6798.115576,4887828.894418001,392.79643099999987,499576.638267,6.204907310000001,3893475.599999999,693382.9662949999,172104.53995900007
2025-02-18,421958.59657939826,6565315.70872305,18698216.856184002,756578.335648,1238483.6795230007,3702938.0234430023,2.4043079499999997,28141095844.224598,637932.1382965002,11063511.948832002,3865473.739159422,744951.4291960001,21882.629159,6173521.297596,554.496244,362792.44063200004,37.72547275999998,6093329.399999999,2812255.3152519995,552792.3785150001
2025-02-19,21239.271221340052,8025196.447325011,6853575.615159,184260.73165899995,979670.1122409998,710291.3818169999,0.7118354800000002,8162817374.074453,116131.34570729999,1660257.1980200002,3790302.7311506597,39458.87149900001,5032.216727000001,1652463.374586,39.766822000000005,96745.260761,1.7107435400000002,2848394.6,1376123.525882,408699.17532000004
2025-02-20,111388.66766989036,7954397.151799,15649458.233887002,204354.718119,1837755.7705370001,2468603.3876900002,0.51601786,30732634009.709663,73724.66438940002,1497672.4055570005,1782350.6761737303,98290.473057,2383.5495379999998,1302786.08299,76.19661599999999,282361.68465199997,2.5909858300000006,3010188.4,475358.6832860001,395058.7380769997
2025-02-21,55864.45725700002,1336296.037254987,9631566.471615002,664841.046736,2286703.216103,5330358.962049998,1.6346987,40985572679.06992,87046.08402230004,16857170.186138008,17167915.210567363,232451.045462,10883.965053000002,18806985.219628997,247.44587799999996,3839753.1731959987,5.305884669999998,3966558.8999999994,361323.9980120001,902302.7406220002
2025-02-22,17632.282365599982,2494241.2877480155,5438913.092565,317037.540161,924026.8114410003,1976223.7917580002,0.85138117,10868530199.423605,84556.43679470001,5804915.5391770005,1347033.2607717284,49442.82760999999,6386.970711000002,11739549.887872,25.916013999999993,1518870.5729119987,31.878092009999985,4260160.999999999,1172916.7842009997,163735.12461699996
2025-02-23,36633.76184669018,7172644.4061388895,3302425.448862,247296.60328799998,3048614.395859,2192605.568585001,0.48777355000000006,22244866446.59589,44100.54851220001,8610727.896658001,4559738.879141735,34831.564494,3898.5812120000005,5745737.978236002,80.06591099999994,813042.8040109999,5.214852500000001,3677178.4,301175.55017599993,346515.441572
2025-02-24,253129.24728444047,11382905.58766898,1785678.2157710004,1809375.9250889998,2774795.597714998,7875351.005816001,3.661513099999996,16456537596.415693,25788.75829429999,4161406.9378399993,817800.9996335026,154695.97809900006,22376.794047999992,3010965.8767500003,528.2363439999999,1273518.057285,11.530981280000006,7727217.299999997,4909878.787564996,922027.0513919999
2025-02-25,209162.3538366647,7575973.521544012,10368311.708387002,1228376.132711,3347325.7349139974,1252505.7832289997,2.2683817000000004,22809234135.504467,433995.71779059985,12622565.957995994,1374528.1829811805,190113.06350899997,27498.533487,15805253.711382002,476.37299800000005,1411552.5632109996,16.49562425,10908498.5,2790129.169784,3779994.7216819986
2025-02-26,46797.807419949866,4354417.965594,2488464.846518,657247.877809,1356418.9062309994,711105.313042,2.5933892899999984,22539663067.747814,4673903.294434301,2174916.513361,1796837.6669611163,210959.4352950001,17576.466749,89162624.96354695,311.34866200000005,752197.3865199997,10.205552289999998,3914851.7999999993,1748529.6508360002,682228.2631140002
2025-02-27,35730.77229319008,4108789.9718099986,31759123.125281997,350346.84256300016,1582339.9365660006,2718683.095632001,0.5561279300000004,7239750771.999992,1118869.7591349,1455975.3313270002,1059932.521013844,74429.42931700003,9381.390013,63161898.385671005,175.88251599999998,736220.3375349999,7.643233990000004,2754967.8000000003,574394.733711,235860.3573280001
2025-02-28,60641.94897231013,6216440.689916001,12454006.652209,930702.4456799999,2577540.0632499997,5381953.983032,4.090824679999995,31116210753.49817,5245918.840774601,10075777.407869002,1784794.8596719564,162600.86853500002,21514.658147,27972053.91050099,533.029326,1554706.535498,26.64233464999999,8457444.099999998,814821.975817,1015973.5346489998
