date,ora,niko,talgo,vote,tiny,gobtc,silver,rio,stbl,alpha,monko,opul,gold,chip,malgo,coop,avoi,goeth,daffir,calgo,algo_vol,price,usd_vol
2025-03-01,21327.945397143958,10065.534860864138,1747889.1991655356,52389.89949549745,229189.793306444,249380.44182090013,51423.78402133279,747584.1026180867,32442.911290189397,151688.12713250075,383899.467769661,253829.4450229986,185242.35707805987,30878.59219992,175664.64103578945,36482.6525641999,11224.905809332298,70720.715877084,10220.278603520002,66100.80406372559,4517645.599132786,0.2380452289435811,1075403.9809315256
2025-03-02,26697.146502776064,1250.945372827337,3531465.661492744,173471.09669631542,919063.2121039234,1472944.4076137992,180484.93228604848,197287.98070033523,101687.41247856908,85712.66611034081,255328.55573048987,225809.1477453236,194429.06127675003,36481.45165171999,427074.70448288723,142652.81439728194,48187.70942696466,329261.07672423474,24102.128780141662,490941.32540223876,8864333.43697571,0.252967373728777,2242387.149407929
2025-03-03,25661.9355941035,628.2514518178663,2244796.4558490766,128841.71529130706,358220.62079819856,575752.5244008002,128286.967594887,3710637.2631965782,110681.30196450466,51682.628145144576,118935.22314120384,262588.0000646009,134703.42078633,95015.7445818,208943.00898384323,33310.994851917916,41177.94028396735,93232.16348418492,14685.158391200015,52192.35137969999,8389973.670235166,0.2905563149587919,2437759.8322248203
2025-03-04,23865.762941977682,91723.70718676459,1862522.9189512925,139697.72758555858,311444.4206589002,626985.4361520002,99681.1404577866,2917536.3149512154,115684.92780487202,32850.35387056863,222527.64107862438,254235.6817009054,159584.37893579996,42340.28719536,250152.37558890454,46893.24787741889,54845.58340035871,117145.22321212299,15929.911909327444,54281.05718637799,7439928.098646137,0.2388551771084575,1777065.3436763124
2025-03-05,11347.966978946088,5623.350586936557,826527.7631076177,67821.26163966427,287539.15801303845,607725.6202989997,82997.11078690487,734452.3524579719,41889.0037620195,344029.48753303377,80680.12168972926,152773.2374383088,84094.37079461999,42217.89870088001,334021.27187005925,24222.494872215582,31935.338476257373,26778.427842969006,14863.638183679472,72236.77426295941,3873776.649296812,0.2392262523167398,926709.070123374
2025-03-06,14821.593748583084,8332.702261171768,893318.912597071,48207.98879315277,371095.41844368755,311923.8360984,292779.4703214321,2793753.9291422046,43236.461072095226,17519.355328582526,248321.94692358605,175669.99446735648,147945.01453845,20011.911072000003,52821.7373748268,31726.117244147947,8235.795811880791,33995.31219496799,5005.539089598276,17971.387308295903,5536694.423831489,0.2501383429011206,1384939.5683270833
2025-03-07,13875.74321977923,14161.548196451484,1428628.6519375183,95932.99466248385,172145.96445466008,505584.55211220006,81922.15539684723,3357268.635125721,85039.148547353,377879.0330645196,133313.8718440876,189814.88947284414,65295.25217424,51766.92723165001,112641.86441001088,38706.5101864171,22890.312706709192,85786.51241095192,12880.411279591019,20806.111379425398,6866341.08981346,0.2414671891878879,1657996.082962555
2025-03-08,6667.612815650723,28439.57691448763,833009.0494833442,47968.64540410078,99555.10906815945,1681613.0681822998,24347.102150976007,1982727.0070761577,30201.951085976005,66049.09747097488,65368.36290797958,109940.57175375025,21134.757717480003,30960.299961759996,53947.269031796684,16442.117882104587,11374.28383153308,84223.32139666098,5481.691195091403,28809.889973307592,5228260.785303592,0.2333489576236486,1220009.2044351916
2025-03-09,17408.58068575092,59104.43170614831,1911647.0613427488,120511.03486028459,472305.4301562682,905765.7819299997,219831.04110454218,1220310.547587449,85051.069796676,80340.30464942414,250290.39131605343,382278.0528184022,341829.50087351986,44872.700681949995,210525.17242832854,99863.20359302615,32705.372890792234,44784.44606266,13512.193714059165,67941.50871051209,6580877.826908594,0.2244415152259664,1477022.19098833
2025-03-10,15389.252511085595,13986.024654565617,3715837.6503072707,201406.53280980702,433125.529443036,2184968.0758455982,260767.6734583285,296278.19538443995,132525.48686994103,428662.955227096,307659.5200102012,263377.7905423064,380630.4117881999,100950.79529208,186286.22603988287,94860.49681258493,44759.802918215726,330614.58558783965,20974.93700244689,182255.10493014407,9595317.047435071,0.2012870056918733,1931412.637142392
2025-03-11,25613.218377567635,2357.6395363123543,2433548.4498082083,169520.1722010402,305454.41367432795,1437090.8265403993,239024.4286580768,5173791.974390911,114114.7233888718,67347.78616122855,135383.72301919726,524621.9631637413,226100.36704363994,749702.3229704398,168155.62865217438,83758.53544438268,22334.690310664362,185387.84719487984,17247.87876984477,29454.691116207705,12110011.280422118,0.1844927160813876,2234208.8729013186
2025-03-12,12525.14113902803,3660.8937299139798,1950844.15690006,112261.41178488739,165267.372193633,331289.5558372001,113219.80962261518,976558.3027513924,125918.59623240115,63733.41567066925,124724.40605466299,352209.89649695123,56734.92457253998,93740.08033859996,100884.84577532303,21234.735203322478,28826.247781769496,48885.37047839901,10500.942085126626,17935.6730430291,4710955.7776915245,0.1910642602042076,900095.2805193686
2025-03-13,13293.907316284418,2840.099696034885,1656252.540805063,82884.08727464247,375124.25754267647,260929.49512139996,63403.20186926541,1770572.6777284294,73178.95191804453,192464.3641171533,110790.80404883498,353875.9061934117,63502.2978598,29206.280258260005,99584.81426759581,20077.182477640585,20262.3817059734,177636.81609090985,18817.489872423885,19758.22400463,5404455.780168474,0.1955390286916236,1056782.0338609742
2025-03-14,21819.32125031165,33121.434545190976,4176286.2166117206,48520.6300543135,353355.88524951326,255284.79027840006,31471.967037955495,656580.2017070785,30583.294582304396,178651.39969567393,174643.41644217906,422576.4810977728,63630.00498162,45611.69082696,117747.3518882024,37220.10661001691,34350.02795946502,75390.26906028402,10862.531211624422,39549.64092265164,6807256.662013239,0.1954845940622412,1330713.805251145
2025-03-15,9214.429956584805,9946.715621005342,495747.7684669727,23565.391712686724,90239.7157248172,136312.19223209994,5117.5563597928,349551.07858771,9805.6122611497,142720.17024920302,158022.1680840778,124112.3326574776,7230.830777799998,79042.44131082,109599.71710277602,24704.33482056666,41700.81144185506,65202.497580108015,3274.420514370621,21286.3652376435,1906396.5506995174,0.1988370639677983,379062.29289943
2025-03-16,73594.20817245361,2730.145166768505,2583263.7537867106,60587.546228809595,1540470.1239159163,368077.0647332,58244.63969492482,2488370.0428739637,45483.638236226514,336485.9061638139,552846.6155474971,192510.78792452923,166190.45490074996,22319.67340044,180433.61664208054,33258.185826122855,33127.81647970804,39813.38457751001,7067.223443338876,5726.873650701002,8790601.701365463,0.2000465101855899,1758529.19278967
2025-03-17,49664.80050309857,4876.332329680886,1003905.6101084335,58638.18789829759,314850.91286090517,203887.75573920002,113797.86987775705,741282.8537577968,59836.0831163848,65561.65422797202,271447.4816876234,61846.73029771052,310930.9708399599,50944.68731967999,63189.3969359268,90772.54224749102,72722.88200928787,13959.588235210002,16241.85583543498,4784.002651364301,3573142.1984792156,0.1865195802079507,666460.9828836573
2025-03-18,16821.021664259668,1558.4754624740847,828607.1212284211,76401.2916035359,133631.1993328445,365264.5301536,96357.7871944885,84732.1816381858,34278.361064687495,166176.47545974512,160414.16345028582,54583.263977109404,246583.11855391992,158515.54163218,68414.7009658145,191057.30181856806,38017.8803968448,36349.59931763999,16638.967431275785,34560.09642845271,2808963.0787743335,0.1912581908210725,537237.1965295688
2025-03-19,11244.1411161668,2041.998476305961,1568534.542518142,66104.0123393832,158940.5642020805,302686.6450014,67715.05793834598,83126.91579521063,37892.630382992116,78621.53396042503,195326.97642658814,115234.30808287191,62439.870591240026,34143.77468981999,49288.65217531039,38534.44027646292,28290.275678896018,87178.52936016001,7103.622832192656,95066.2748186133,3089514.7666626084,0.1867098363931291,576842.796617732
2025-03-20,14596.636634796252,3351.833877920548,1063349.3826131488,66306.05062133039,278084.27373282897,499576.53733749955,56517.5869352712,657454.3160568102,61364.286758880015,64700.26862514212,119647.04055892001,87560.03871614383,52472.40469835997,54640.36498976001,307704.84769382264,31044.389882832227,11339.702520834679,124689.32180451996,149262.05349483117,42696.7215959263,3746358.0591495787,0.1998171394978688,748586.5509140564
2025-03-21,7223.052503423525,5634.594033862926,1754025.2237974042,39617.73310851838,94467.63805730073,156817.59536489987,32089.1154946626,33737.9923944184,17747.713762592004,108760.59748738079,81334.86819103266,126483.11030710056,93312.81932153991,99639.36815668,287431.5610029415,14078.307933758013,8333.60377456393,52903.09079372999,13882.862036248815,5231.18946078568,3032752.036982844,0.1953308920717818,592390.1608163724
2025-03-22,4111.453898362261,1895.4059261279708,736470.9392557944,32894.914569964996,86733.6864954686,284735.4818560001,74464.54673416151,24033.120236773844,11384.8685799921,80425.28556247157,33260.41429887422,125224.94369002011,113614.51462961998,32745.46132656,37100.176885300505,46986.39919053797,9279.693721442978,27621.065315999997,7202.48570995035,49545.95240179871,1819730.8102852218,0.1872480963997738,340741.1301859257
2025-03-23,76857.4027593532,3623.1163469601593,1199125.2863604308,27696.00634148266,134363.32547083884,130555.0967298,18625.9789114959,2494426.3012808724,25591.011948992014,37946.55203903288,43565.722439817604,295976.3616944721,21688.0946156,58822.4068806,152140.07035336774,10811.324464775944,45239.872882338845,28897.843964900014,10741.37881947152,4616.1857644705215,4821309.340069072,0.187777324304315,905332.5675215732
2025-03-24,6784.689611893043,1066.0548280279638,719701.3405678925,56847.41184714953,96508.94529254646,289040.3566362,28092.415086593806,919726.4618065904,30158.061945249003,107318.20853572077,74961.00662027985,395116.43661334744,54302.92137225,37969.4647827,63147.192352438804,14051.710134281126,41575.00559834624,17846.766703999998,11241.788760729904,43698.69690066108,3009154.935996898,0.191663830506318,576746.1616201596
2025-03-25,11999.697833402262,3586.481683308161,3790243.582509446,45029.24593781265,139603.97479257523,229152.9695073001,24786.465537764812,40893.32708595735,23536.957163213898,108072.56868862298,38248.48534794857,226066.71694196732,42181.65483928001,43885.00616558,296178.9449385945,34326.27261376849,16763.939076473758,50986.421436896,31198.869713138054,18996.198883999332,5215737.780697049,0.2033165437969895,1060445.7789227043
2025-03-26,22662.292276313972,1403.3091673999184,1292605.3574148677,64511.22707652801,165168.8535242757,383649.4938184002,24688.339293617508,77809.22214301795,38773.42863968971,77834.96773199616,68176.60234279388,329785.1013998768,28635.6357027,31995.508513980014,106559.42732016,13804.330124841672,33293.972391316864,54133.180804289994,14970.31458541108,50988.96993899015,2881449.5342104663,0.2113817466044189,609085.8352938977
2025-03-27,156869.30937173098,6770.022834024138,3789497.526717462,39226.62680942309,537030.2007510561,141347.1737196,53593.66415888101,115552.2670126287,21064.445241577298,133337.07338569462,33085.57545720433,31154.12969979548,61811.377024019996,31406.036940000005,37332.7570420272,14964.634924448934,10698.88288016565,17078.256600695997,5555.104424738752,8492.207686300799,5245867.272681473,0.2069023477213701,1085382.2545524975
2025-03-28,8940.909225729398,2920.4370672277073,1626759.4794659093,70452.8867315712,430638.9122207027,201404.460834,126415.44700615529,1117651.5404831162,29659.057158381194,160850.86298038135,28195.16517332738,71905.05353455801,97779.4106709,43105.895289030006,57284.3983696269,36566.46219355689,13022.866093489502,158963.39055959013,7998.89142902794,17054.392246448202,4307569.91873273,0.2121676344913899,913926.9200637919
2025-03-29,8037.511902495488,2461.668634689727,2351109.2394702593,87921.54146801146,257212.83646974785,724764.0615111006,125613.34890119011,2501012.23345335,46438.726012875995,150233.07965507396,32768.557319254076,184332.1404918549,176079.30752212997,38482.559884400005,101188.33543866318,94824.55171976637,7124.512851145875,89132.31288450002,14408.7221255955,124663.41785064482,7117808.665566751,0.1996142990797829,1420816.3877611118
2025-03-30,38471.1512281342,481.6267170085508,890329.0898757377,42845.691129529,143224.97458557162,102135.91332279996,136877.18367915903,1061421.5046014413,20677.0598386038,138588.83082781767,32802.96366766996,108560.68942083315,47569.657371830006,27240.02453256,315546.2923813382,74232.96376068109,4769.835183362475,30128.6629988,2851.451798826824,53195.089408461,3271950.656330166,0.1837661991258261,601273.9358410466
2025-03-31,89405.32445796691,42167.218397755074,23022242.779527757,156703.15740320066,263955.5693378074,509071.53861750005,46645.948351025094,3911525.0019986383,89569.2483292017,436297.02045086736,108177.78554358284,62647.8836244533,118698.56384144005,49820.12305200002,2317887.0086877695,49233.13174798512,19927.88810352365,217537.89672076015,14730.084812060679,1347383.7110896967,32873626.884094983,0.1793993764029707,5897508.163110573
