date,ora,talgo,niko,vote,tiny,alpha,monko,gobtc,daffir,opul,xalgo,coop,chip,malgo,avoi,arbz,gora,pepe,fish,goeth,algo_vol,price,usd_vol
2025-05-01,53386.90584018328,2862876.822917903,13171.68611291288,56174.181069678,608545.6510861163,38352.17040249125,194371.8088393591,1224154.4105182001,6303.85907560555,62348.4857827864,7544747.157648803,33104.7430321737,28141.587868199997,64861.6296062322,11726.471750090968,17494.702735782837,216654.19668673808,7158.078729108391,36714.574074788696,338618.39739279996,13418907.521169955,0.2201028504440604,2953539.795254748
2025-05-02,31454.185700548398,3758223.581388867,15449.772340639945,77817.75434367912,176114.65847742444,42734.82064389275,92323.77208262599,890933.7794986999,13560.66515335283,46763.32121562856,19332082.58552989,134778.66890703756,53926.11681600001,1032660.6777330049,22426.828914623533,49914.647199524756,333974.67371161724,3025.990115212267,12709.841144936756,231333.897183032,26352210.23810024,0.2172530415137131,5725097.8248360865
2025-05-03,18593.785343934014,6038852.4743782235,27547.441214030812,54983.28989020671,130846.9185472363,71959.44455060994,186659.3677992184,138059.74463900004,17074.46065024671,49089.7524925137,11066203.542867456,110329.22870326391,15597.936886570005,25355.127854919105,16400.625343433036,6783.3460047834005,85419.93070682013,26946.524293405735,52254.43555318092,107326.18562222,18246283.563341275,0.2153306010907244,3928983.2073660814
2025-05-04,15071.560469320535,1939401.012018729,7390.361069037412,55816.508909479475,152948.6335257301,16684.758626400348,175069.78019275473,119344.31322879999,8884.889813882333,78258.4394996764,10823500.056770902,35114.06924265056,29153.059702130002,26438.938696907102,34307.39505206978,12874.34582188888,68529.65163496722,4092.751343328,36874.31015363081,61388.980996214996,13701143.816768503,0.2076446768674588,2844969.580547477
2025-05-05,13737.649494884377,2989499.826340743,7167.300576827297,78969.34879587605,375852.4278231502,49245.34803263502,156770.5590266875,183857.92214360007,4364.871179258101,58306.37162388493,4658471.130200024,55864.33758105726,35013.71124307001,33920.27076701342,63507.694885684665,47512.063507655985,136450.17138910465,4412.058945945802,20206.372967497977,13862.130607895999,8986991.567132495,0.1996724295033102,1794454.4401351064
2025-05-06,8204.84078277771,2519085.972066059,39203.47208138396,71520.13936003968,139050.33240415392,123384.58665628103,115334.35450537314,288709.2590702,5773.783709931866,41002.03597349964,9991926.501986314,85557.39591084726,33767.2695717,60441.77555062049,47704.78880883794,9690.258745454126,402937.41876282124,10650.217994115594,40024.46492261989,85357.16284849492,14119326.031711526,0.1994460360676171,2816043.6089711823
2025-05-07,31110.368638130425,2951617.079360551,29032.93889953759,37535.759555348246,71270.61777535439,182534.90993215557,134023.41898334175,1065477.7858737991,4492.549888702611,17202.859137514588,7460642.914298098,14887.047361591021,12304.224891810001,28146.150451912505,19024.659966565654,9757.057136480937,180569.55369685855,10598.665920119212,9350.228858329756,737273.3333207401,13006852.12394694,0.1994740152685402,2594529.0191678363
2025-05-08,9751.010556426409,6933848.68609261,41321.83141451969,166983.49382677875,327997.1291539327,4915153.274202621,145359.32308252316,726082.6809591007,7385.5996159902625,161725.63021591862,27933557.93315126,60458.320180238596,348201.30178209994,62473.62475513961,84557.90816815571,7977.448366111261,216211.56784986894,455429.63772790215,82544.26709971977,147782.75471631603,42834803.42291723,0.1994346258957083,8542742.995965702
2025-05-09,12257.818182135865,4074154.872141591,52883.244729808765,130149.43067808123,170963.0732380309,614777.1742886605,110312.71380565334,507852.27281749976,8843.957093460609,295402.5059348641,17811402.181499828,34569.59500407232,40133.107029180006,283441.87687105074,96518.82889719334,6403.099877861526,269197.91149902635,143915.608552397,20641.127694411236,270985.43832026,24954805.838155065,0.2243432837140863,5598443.086179159
2025-05-10,19425.409436560916,3675201.0744178705,6457.880275891838,130148.46983675339,98979.94982998246,303714.02497832465,326035.3187872073,401965.02319810016,4435.320528475287,672108.7378772674,10019225.3701959,26833.845333169593,42052.834187520006,39369.14794578301,30270.15248187809,10187.467515531527,72598.38317861546,39827.911907450434,39441.67842974248,415257.5293386399,16373535.529680666,0.2323007262339902,3803584.19456286
2025-05-11,15658.617285213828,5989140.645453243,7589.37279959782,125797.30702285898,196974.51375292198,91312.86609839687,174881.5458559321,304243.6458459999,18116.154702965287,454889.45885918837,6473929.955017882,31891.90149980342,53320.78557471,112647.00921018301,31701.03298843802,10332.0011383274,55656.75523899805,66641.61623628251,33307.81260817943,171918.0531746399,14419951.05036376,0.2523693770522172,3639154.063703767
2025-05-12,23359.962975598555,5568658.753671501,8150.124310024465,154491.7147018253,232097.91933348108,281958.423482335,430665.39583376964,587537.5706700003,15742.426588091952,351124.7347491596,7195129.020157543,72616.90838420355,23964.965986639992,77259.5557627635,38795.48316262838,11275.55047689449,115293.23490548607,109195.76260870471,45805.41585220109,56024.1081376,15399147.031750454,0.2395809597321422,3689342.4249231424
2025-05-13,16587.939769850884,3204742.7280247672,17751.932995991345,64259.30554283563,104560.60667805669,163468.5236393813,368117.3125066041,346083.78583800007,4439.168733316408,558767.056194841,8435453.180325482,30878.660832001013,33927.00125906,199034.9436256466,28312.806114317256,8683.083218179765,46086.017744547134,22899.793570533235,35859.77786613373,93309.75823386002,13783223.382713407,0.2423555794137991,3340441.089107332
2025-05-14,27926.594450243487,1966442.6864202346,32986.513350448135,53084.22163572976,56720.740399166796,251828.75894812134,202176.6151616529,384167.0963115,4584.465545492743,1831015.9411140988,7655601.9921693,10711.75684213583,32356.272629279996,31377.610769032,3001.102114278522,2070.027596531019,55560.216599641215,11490.65331778339,39219.29344145019,39267.69913755,12691590.25795367,0.247968276158999,3147111.757981117
2025-05-15,17687.246284369867,3914735.531387835,9590.3921938989,136070.02583311222,300814.12140545197,1826851.9819340063,238264.0531136303,530929.9571620001,5406.2076620937105,1478486.7576605817,5989759.442842662,35849.61180043538,43821.30173505001,49710.603016078494,37586.84109757302,8017.737625380169,113350.72603072945,14255.962924941356,9680.104968420752,84282.21595415998,14845150.822632411,0.2370906601413451,3519646.608435751
2025-05-16,13980.196840822762,3437946.30126345,21986.59421571273,56701.9315954665,169800.867448926,559614.7658610818,346648.4804910642,162468.30960839998,3410.8491732945076,625461.7902614033,6671500.1181623,79526.07085212028,46875.242724439995,92724.1789292111,21316.547134165427,9322.100192792512,82474.66189886672,9309.277666013886,4045.778221467887,32110.94297235001,12447225.00551335,0.2250973571274054,2801837.452311209
2025-05-17,26938.51301348275,1963379.1007912876,3614.9746621746444,115216.85660803133,102366.57408781617,511694.04016809573,168109.6073923963,219116.88916320005,5393.3907042901055,755677.993629149,4901469.950923865,31180.517459384137,26498.406476000007,57046.64221479041,22429.944458749702,1063.9000439877855,14259.174681942084,200550.63805625177,12241.497163895403,25601.59476666,9163850.20646545,0.2237159277932582,2050099.2510978587
2025-05-18,37250.01302042954,3093802.4749196745,11452.057611934522,95077.12353597855,84301.99212906686,539095.8899009067,288169.26649042225,644958.5709245998,12574.63424108203,75132.42249653077,6393287.119489524,20276.605129393458,40483.4733824,179950.01110443423,11985.738148952792,24307.312552757714,56612.89108365521,16563.636456879958,7608.725456039086,56162.42341624001,11689052.381490901,0.2152785722562661,2516402.507716068
2025-05-19,17876.589003726596,2456284.2514398177,2210.3939922342515,113759.2955686224,108020.51067392442,219329.86801699788,244802.68815894437,126641.590852,3840.012143918415,124358.07739341154,3299143.77321471,64633.473820196166,83726.36368134,54456.243491328605,3083.0636745159654,2374.312025715475,79897.92311107312,14663.684154561097,5756.831229183608,64635.15235787997,7089494.0980041,0.2248005569886264,1593722.221998901
2025-05-20,13759.499423758314,8974229.583682783,6216.950737533626,56280.471031397596,94505.46168654182,115697.54809401004,317818.6014189098,88095.17560480001,3258.1016722584,64122.74154920383,4725604.257880087,10610.368816930899,47919.34970394,21737.6967528552,1811.1619691857973,5631.197889469854,61396.83540652874,2579.4610279579015,39648.37288557985,30988.75344626002,14681911.59067999,0.2222213199248362,3262633.772700659
2025-05-21,11979.173434527573,4205020.440398483,11462.301435780138,97893.30676631477,108731.84695536189,253965.40700763022,315115.4833534364,287966.9767932,3587.954655920243,106251.03840712548,8706626.610150274,13921.286372099965,11383.139650299998,53848.976627526485,9735.969971730912,290.7470656507353,1913580.0371938206,33004.64385128871,13574.994796157069,72382.15815649001,16230322.493043115,0.2246622700371147,3646341.094721509
2025-05-22,14390.886028093617,2895319.6630580714,21495.647396189455,88144.6584135249,276323.2211115671,133819.11723790455,210857.84225647702,505131.3402828,2374.1697883796296,65893.37968726047,3894392.733287395,22284.4765874694,8299.81066488,73218.94908740361,50508.289071418956,1009.2087161417634,232420.72062699872,16103.884947583574,6951.225665247531,56384.75152997998,8575323.975444788,0.2313366284089696,1983786.5359939989
2025-05-23,11046.575230706407,8390729.635087889,7013.45688068418,135628.8603500723,302209.4949345328,182474.7736278128,87099.95825674248,427895.373134,7942.879136884857,309235.83148422866,7709381.259972265,45438.24111332945,25883.53726156,68489.3312854254,7854.866933940558,652.629037722857,270273.54678701883,25224.114653577737,5839.458949638446,66187.98271877998,18086501.806836814,0.2409409882002313,4357779.618424531
2025-05-24,14699.129533596542,3792320.1345417616,4074.866740059909,304409.2991091128,77445.92564238254,264203.7801560778,144736.82336543128,283184.1419623999,3244.7070333359657,68607.75156289266,7001863.971842726,14962.770279437516,8345.828127779998,29235.571284027905,21116.51094954919,752.66719610822,88160.22369191493,7091.329724611959,260413.56666598504,496630.4382809599,12885499.43769015,0.2252751471003281,2902782.7812868436
2025-05-25,14259.896817609062,1759289.5414834844,2684.1220560324764,80805.66784761996,55188.44379322729,131205.84093625384,230840.04056472844,460051.8449730002,12483.302148032391,287428.18115286424,4977624.81441124,13634.89257922778,13648.952261880004,38400.8442529257,6758.183997485544,579.4543884545,130654.60497174188,10279.710955345736,647441.824509119,43412.05227800001,8916672.216378273,0.2205446056283286,1966523.9574782208
2025-05-26,8302.667824909622,9746271.24189787,1560.1519949831281,113567.69613315091,151853.4868493556,206510.8357198768,172553.43838031226,239740.064648,6259.899995262991,183764.8967683795,8497925.859218396,21522.499662476694,111024.43235889003,46086.17536293539,3373.07305061425,881.816633706331,274375.57427438616,9205.338679740658,39896.629556066146,37656.32712930001,19872332.10613862,0.2209254906606628,4390304.7211203175
2025-05-27,60721.61695488113,2289209.662023724,6117.560856403909,28995.619124082696,126418.49607604004,159776.93192554128,164446.44401412117,182567.77402040004,4927.16236174756,180370.3266167178,8305420.381179065,184786.14568007257,40024.27982571001,138375.25026603922,2246.3048601155438,966.7918539314738,88580.17803576101,1018.4577716981546,68274.73260179341,37594.42997736,12070838.546025204,0.2181753942528691,2633559.958741778
2025-05-28,34264.46048036039,4177256.207020211,2295.0585723955273,30078.432701380134,72831.62637562038,184930.61452189545,226598.97802736997,346655.5381477998,5925.227229277313,61422.94973778197,11797993.38408715,8257.00114862681,11735.434968729998,23751.2836819133,1499.8375673924124,474.6867414019335,45686.11141227056,2746.6901982009786,130740.33080520542,27264.76847475,17192408.62189973,0.2219401704431431,3815686.099872589
2025-05-29,44735.5275167244,3594849.9814998033,20272.47787899631,68770.2362716647,327546.5749900735,167872.20147617988,284054.6996641864,471784.06965759996,4142.372681693687,95707.39012801331,3697793.8074168204,41341.794703980224,7905.598181460002,48003.48733365569,31902.677047974572,9289.937690947354,127376.33569158062,26965.18007089526,279958.0187058155,80880.06727710004,9431152.435885167,0.2173693808427945,2050043.7656223718
2025-05-30,14992.864038551303,4856518.237425934,35726.81939570478,158893.52930892413,460210.4039386719,290182.8494219333,170386.52162140154,860065.9766211989,9492.93840474294,171874.17338554756,6779968.437535272,30177.35329065309,68889.89810107,222293.66316007267,53041.3681684332,1658.258304531489,44155.36204644474,20877.801959892862,19551.006473744794,52116.37993000001,14321073.842532724,0.2109580675617282,3021146.0632295166
2025-05-31,14659.426021484976,4834005.410930851,5972.996258938836,84221.06738697602,472205.5589729521,272730.6705351618,101733.48600463073,696640.9925845,4799.267306554823,92826.2568053779,4325592.002699782,94171.62543916375,22551.890122239998,42913.958952927,10949.411606738175,494.55513989953033,34251.73576196438,16231.281114454327,18932.62295985853,38746.517232839986,11184630.733837295,0.1926650902871019,2154887.8901626575
