dt,ora,talgo,niko,vote,tiny,alpha,monko,gobtc,daffir,opul,xalgo,coop,chip,malgo,avoi,arbz,gora,pepe,fish,goeth
2025-05-01,153675.60690899045,2795232.2035910008,46636993.637053,373250.372556,5665105.670136998,2123362.329891,49279164576.56849,2.79270523,180208.08654999998,463591.98291907506,6574370.126916002,365935.74417100014,4402970.8,54473.527846,1807019.408588,157851689.39621797,1583150.8709297632,178599234.73910004,5130241608.997232,39.869353999999994
2025-05-02,96609.6986932502,3669065.294727001,54683652.499345005,515076.478314,1648550.5801499996,2347938.06076,24450151504.93273,2.00340397,388680.247452,343418.67676895467,16842727.466048,1481002.8999179997,8396960.000000002,867490.4886870001,3529283.01434,422575746.6942495,2290792.7410084177,75338979.5895,1799419696.874939,26.93969992
2025-05-03,58081.98339403996,5894438.725600999,95366063.88572599,360972.22879599995,1221498.4927859998,3882354.7100410005,53845083886.00311,0.3016380700000001,488218.3584549999,360476.9605853554,9639550.124449003,1196914.9764939998,2434400.900000001,21290.727899,2611148.757114,57720779.4825,577083.7096799089,680021306.5513989,7529457572.504456,12.13602895
2025-05-04,46376.88617552014,1892837.2164930012,24701230.218381,364076.1131660001,1418686.8892100002,841177.6469070001,51827993780.974785,0.25301966000000004,257667.47328699997,577169.699090467,9426493.691666,378506.72892799997,4557088.100000001,22204.534053,5127624.172668,109234225.53783199,457565.9453493171,102318783.58320001,5600423765.017892,6.737527409999999
2025-05-05,42340.040359009974,2917154.3972880007,23780817.468487,512787.9791940003,3513296.2032450004,2466831.0390540008,48447281753.66591,0.38987642000000017,126848.91540999999,421349.7009964224,4056841.5311330003,600672.4254170001,5486236.700000001,28487.671762000013,9777333.941818004,412180649.8451981,891481.5849281632,111238659.35369998,3238252691.1485724,1.5170760399999998
2025-05-06,25699.557673299852,2457884.6444200007,141329795.88804194,463003.42694400006,1304045.1318029999,6093667.851455998,36848036583.1863,0.59914346,168715.55461200004,297871.674344349,8699979.540258,914837.1068930011,5306815.9,50770.076061,7403552.232302001,85746913.94968699,2793520.651433869,268179638.76100004,6737558273.313675,9.31490836999999
2025-05-07,94119.83009055007,2878783.8480059993,112898346.94173895,242651.4936670001,668579.9040839999,9002954.867183998,40211046799.682495,2.190268029999998,131796.57607599997,126799.28604344797,6494857.590579,160541.867374,1938375.2999999998,23638.322375000003,3005855.395084,88355131.18247701,1283821.924613285,256887535.02640003,1605079283.5392861,79.84333261000002
2025-05-08,29407.71625678994,6762091.560457001,163030976.937267,1106950.5722690006,3205914.662828,222929665.91993016,42398589161.86068,1.5843993300000017,220064.9449059999,1250584.8300024641,24313306.582950003,707810.2484340005,55397550.19999999,52472.387666,13991545.986291999,74340214.01650602,1607043.0195471158,9269888820.026503,16906494162.64947,15.162337480000003
2025-05-09,36594.871573130724,3972459.898734,248979494.96143484,870273.6922640003,1681879.7170490003,28317695.729555994,30516117681.167763,1.1500017499999997,266528.753344,2187356.578562489,15500306.484640004,410828.7381939999,6412166.2,238046.42384399995,15986820.302977,61420622.329606965,1932921.0274935472,2730535585.178101,4524776994.697539,26.974461309999995
2025-05-10,55123.18228309,3582765.7188709984,30147426.711600006,887295.2674990004,989700.5282470001,14839930.859881004,66371214866.19451,0.9699694100000004,134988.602991,4076845.431743706,8717676.298787,324272.15783700004,6811609.600000001,33069.42288600001,5327376.3607669985,104130133.85460605,488746.3523536789,731875115.4459,7909691853.954173,40.64776128999999
2025-05-11,43917.03066951011,5838507.160707002,35140865.859137006,847519.4167139997,1966205.9667889997,4328034.225917,36315629590.48345,0.7051164499999997,549024.296238,2733874.985631278,5632442.974610999,382851.36432699993,8644884.9,94581.871713,5598119.832669001,105911669.946874,394449.00948970974,1158621931.156899,6500226890.220611,16.51311623999999
2025-05-12,63933.33782801071,5427542.644903997,37489072.26322201,1046124.8286959999,2335083.09523,13584429.730310997,66318452060.20568,1.3840696600000006,486222.52179299964,1953840.825491957,6258810.9082790045,913489.1738270002,3896995.8999999994,64885.828304999995,6618921.256825001,116249979.14195198,872376.1721056754,1956457502.8883004,9883785571.422642,5.4202891
2025-05-13,45929.61504555013,3122922.1672430006,82701760.98761399,436722.2070330001,1058959.546664,7925362.340705,55865920887.89464,0.8237736500000001,137384.523809,2796771.8914602385,7336452.583341001,394989.00982399995,5519996.300000001,167171.966761,4894514.074321,90145481.537948,342290.68437720684,388105782.1593999,8982235269.42708,8.622228630000002
2025-05-14,78886.45645672012,1916050.5567769997,152899385.141597,357108.79001500004,575231.8888409999,11669003.241189998,31671253706.631508,0.88487181,139608.54940900006,10340049.362514675,6657045.210582,135148.77606499995,5292507.299999999,26341.17761,510157.260149,21323783.391682997,413979.70791774994,198237756.5003,11514090024.499496,3.5916673500000003
2025-05-15,52030.494453050145,3813673.1918050023,43557054.200649016,903699.4476530001,3135734.240292001,79681248.39420798,42942839938.293976,1.1550995500000005,163839.36909700005,7840935.286702279,5207580.805810001,450853.446525,6984253.500000002,41742.046364999995,6037561.817938,85731949.24541193,798638.2444214011,246976246.9239,2853215718.5783453,7.448057259999999
2025-05-16,40565.815050409896,3348540.2758970005,99491353.52600901,376132.21622199996,1736240.6945839995,24260405.161532998,57166872339.30278,0.35218137,103268.31491400005,3373398.361800352,5799791.461499,945916.8918930012,7445714.899999999,77847.518201,3451345.8112729993,101019724.67265399,592532.954227076,161872329.4386,1179664748.5035825,2.809602150000001
2025-05-17,80661.47562201021,1912133.9119510006,16296148.68221,758155.2714879998,1045858.866015,20638649.625623997,28313197034.50885,0.4594801400000001,161798.48515899995,4162597.739501757,4260295.481029,372411.40696299996,4208768.500000001,47914.196384,3578542.168628999,11394086.555939998,101402.18092691,3511716858.2229033,3579594468.6517935,2.22796926
2025-05-18,116939.8286570903,3012759.2510659993,50936519.200882986,632792.8355140004,860031.3412200002,24153041.662227,48813291520.356094,1.3929088199999995,392908.206508,418774.9985872068,5555998.191961001,242401.04638899997,6387824.0,151154.9862280002,1981244.735016,268280788.40622616,409170.93873702805,275560006.93539995,2299264310.4191604,5.113112110000001
2025-05-19,57344.54674962018,2391475.27158,9885040.884729,752525.6040789998,1117183.893618,9569365.969328003,43107413083.33381,0.26780915,119607.916023,750048.7176924701,2866577.2640670002,771531.0878229998,13285259.7,45719.287626000005,505180.1069190001,25991374.118396007,580484.7654102958,246643300.66709998,1765899150.0563214,5.711837429999997
2025-05-20,43793.562569649934,8736594.220874984,28030798.22144202,373212.672622,975228.1766509999,4936955.327246001,57796759609.90558,0.18581168,101656.838448,389993.5625179651,4105650.9625370004,126706.10003500001,7567447.800000001,18254.699994,299395.306838,65931365.056431964,448840.086311344,43904225.01290001,11781527021.537407,2.7409122100000016
2025-05-21,37627.75924905005,4092079.058387001,51692529.249482,651839.8373040003,1133816.2749909998,11140788.164924996,49173023009.75866,0.6132567600000001,112225.28716399998,655183.0696622401,7563087.743354998,167506.363596,1796184.4999999998,45209.45061499999,1585069.1063170005,3424865.014203,14242185.4509811,557266130.6062998,3847787640.63409,6.542724230000001
2025-05-22,44841.19910289975,2817555.141162,91795052.29615003,592210.8197629999,2955233.7477039997,6199060.417747003,34288058126.784996,1.09649071,74918.57962699998,391383.8185273252,3382310.8678890006,268746.702695,1307695.2000000002,61487.19271700001,9108470.221348004,12110698.364875,1723805.685878504,255873094.48470017,2024825419.5303032,5.066470619999998
2025-05-23,33871.69297735997,8166160.228795998,30123945.024844,898680.4952959998,3397979.434376001,8542026.665471997,13588560993.59457,0.9008134000000001,249650.46319100005,1766153.5866367503,6694495.710291998,549547.5625379999,4077367.5999999996,57486.428811000005,1353657.251614,7742846.404267001,2032743.2820925005,406925882.0975001,1712049651.0022416,5.906477129999998
2025-05-24,44579.29073362006,3690463.3461869997,17527816.328544,2008904.5014789996,867071.1230800003,13127485.846967991,24492228338.34187,0.5809143799999997,101948.25253200003,401661.21165559784,6079062.312764999,180367.78426699995,1318331.2999999998,24545.018289000003,3436428.737578999,8783400.972182,678782.134985486,114402118.61730002,443355238888.57965,43.35112065999999
2025-05-25,43837.489063940055,1711371.1493030004,11620079.033865001,532948.607358,619809.343934,6241358.621266,40790224866.54093,0.9366067000000005,394143.159511,1701664.6803200773,4321229.980389999,164519.62039199995,2163101.2000000007,32250.646050999996,1113613.129251,6750872.480071999,1038507.3123896501,167334792.2149,351431267713.79205,3.727956400000001
2025-05-26,25998.646703959985,9479886.433126999,6750105.979246001,746517.426761,1709695.975516,9797923.600127002,31453989022.82438,0.4808168,197131.16029800003,1117315.6002211922,7376031.472284001,258858.1216020001,17712048.300000004,38685.616857999994,555585.889217,10312559.306111999,2199050.8477549586,146367402.52719995,24691564275.32253,3.223448650000001
2025-05-27,171336.39095621087,2226857.647883,26401799.043649,191529.2894120001,1400681.3592159995,7905444.160385002,30078732077.50241,0.37432907000000015,157719.665869,1156145.930496236,7207063.850381,2236091.6972829998,6417541.300000001,116174.334872,372182.066128,11534280.460653,736021.4211529789,16217738.685299996,45018286035.73349,3.14913972
2025-05-28,95911.71583026001,4061898.2954299995,9903165.36093,197650.36602299995,807822.1164580001,9374492.549394,44513216129.21266,0.7020445099999996,192809.45069399997,387697.7197360473,10236870.61526,99148.65870899998,1889246.9,19940.629403,247404.04918799998,5645655.820669999,369121.04235493706,43347803.1406,86041678713.52776,2.23024691
2025-05-29,119597.72093764044,3494895.957126,90574916.80366503,449361.1883929999,3598147.629296,8061864.3555769995,48178344216.18182,0.9475097799999999,134222.43152399996,599632.7932335901,3207941.1880079987,490849.447361,1275446.2000000002,40295.04518899999,5399089.009456002,108450026.16064899,990792.9036370614,416952932.8131999,193876744256.1049,6.4729945800000035
2025-05-30,41151.87889702002,4721942.865752001,165624307.615339,1019921.2356950003,5003809.897997999,13668527.999149002,29455195107.942043,1.609224219999998,304866.67110100004,1070000.456860783,5880794.8976799995,352580.363251,11292130.1,186613.21621899988,8923213.917504996,19137429.94266,324314.0803998879,340806430.9483,13382850622.044489,3.985956400000001
2025-05-31,40817.00131278011,4697770.0786500005,27830566.857417,539878.6370960001,4913484.963924,12971732.248996997,18194635691.35292,1.2923494899999999,154272.63192499994,564327.6600728184,3751597.573894,1089999.831464,3720942.8,36031.871497,1832568.178001,5723355.397518,251370.43711994996,267918081.2184,13928215228.322319,2.959556769999999
